,Indoor,Gamingmouse,Interaction,Run,Y,y
1,1,1,1,4,273,261.3
2,-1,1,-1,39,253,265.2
3,1,-1,-1,1,284,286.7
4,-1,-1,1,34,305,283.4
5,1,1,1,23,250,
6,-1,1,-1,14,252,
7,1,-1,-1,18,257,
8,-1,-1,1,33,307,
9,1,1,1,21,263,
10,-1,1,-1,32,283,
11,1,-1,-1,10,275,
12,-1,-1,1,22,250,
13,1,1,1,35,263,
14,-1,1,-1,30,245,
15,1,-1,-1,7,264,
16,-1,-1,1,9,301,
17,1,1,1,15,241,
18,-1,1,-1,31,245,
19,1,-1,-1,5,282,
20,-1,-1,1,25,255,
21,1,1,1,28,259,
22,-1,1,-1,29,278,
23,1,-1,-1,19,290,
24,-1,-1,1,2,261,
25,1,1,1,27,248,
26,-1,1,-1,20,266,
27,1,-1,-1,36,284,
28,-1,-1,1,12,289,
29,1,1,1,38,255,
30,-1,1,-1,40,275,
31,1,-1,-1,3,326,
32,-1,-1,1,6,265,
33,1,1,1,17,268,
34,-1,1,-1,8,267,
35,1,-1,-1,24,285,
36,-1,-1,1,11,325,
37,1,1,1,37,293,
38,-1,1,-1,26,288,
39,1,-1,-1,16,320,
40,-1,-1,1,13,276,
